Abadá;ABADA
Abrir;ABRIR
Ácaro;ACARO
Adega;ADEGA
Ágata;AGATA
Ágios;AGIOS
Aguça;AGUCA
Agudo;AGUDO
Alado;ALADO
Alças;ALCAS
Alemã;ALEMA
Amapá;AMAPA
Ameno;AMENO
Amido;AMIDO
Anéis;ANEIS
Ânimo;ANIMO
Ápice;APICE
Árabe;ARABE
Arder;ARDER
Árdua;ARDUA
Arpão;ARPAO
Assim;ASSIM
Átimo;ATIMO
Átomo;ATOMO
Atuar;ATUAR
Áureo;AUREO
Autor;AUTOR
Avelã;AVELA
Bacia;BACIA
Bacon;BACON
Balde;BALDE
Banca;BANCA
Bazar;BAZAR
Beato;BEATO
Bispo;BISPO
Bloco;BLOCO
Bocão;BOCAO
Bolão;BOLAO
Bolha;BOLHA
Botar;BOTAR
Boxer;BOXER
Braço;BRACO
Brega;BREGA
Bufar;BUFAR
Burro;BURRO
Butiá;BUTIA
Caçar;CACAR
Cacau;CACAU
Cacho;CACHO
Cacos;CACOS
Caída;CAIDA
Calar;CALAR
Calça;CALCA
Calmo;CALMO
Canal;CANAL
Canil;CANIL
Caqui;CAQUI
Carne;CARNE
Casos;CASOS
Causa;CAUSA
Cavar;CAVAR
Ceder;CEDER
Cenas;CENAS
Cerne;CERNE
Cetim;CETIM
Chalé;CHALE
Chapa;CHAPA
Chata;CHATA
Circo;CIRCO
Civil;CIVIL
Clara;CLARA
Conta;CONTA
Cópia;COPIA
Corvo;CORVO
Couve;COUVE
Coxas;COXAS
Credo;CREDO
Criar;CRIAR
Cujos;CUJOS
Curso;CURSO
Curva;CURVA
Custo;CUSTO
Dados;DADOS
Débil;DÉBIL
Dedão;DEDAO
Dedéu;DEDEU
Demão;DEMAO
Dendê;DENDE
Depós;DEPOS
Desço;DESCO
Desde;DESDE
Diodo;DIODO
Dólar;DOLAR
Donos;DONOS
Doses;DOSES
Dueto;DUETO
Durão;DURAO
Então;ENTAO
Épica;EPICA
Erros;ERROS
Esqui;ESQUI
Estão;ESTAO
Estar;ESTAR
Ético;ETICO
Etnia;ETNIA
Êxito;EXITO
Êxodo;EXODO
Expor;EXPOR
Extra;EXTRA
Facas;FACAS
Faixa;FAIXA
Falir;FALIR
Farda;FARDA
Farpa;FARPA
Fazer;FAZER
Febre;FEBRE
Fedor;FEDOR
Feias;FEIAS
Fiapo;FIAPO
Ficar;FICAR
Final;FINAL
Flúor;FLUOR
Focal;FOCAL
Fogão;FOGAO
Fórum;FORUM
Fotão;FOTAO
Frear;FREAR
Freio;FREIO
Fungo;FUNGO
Fúria;FURIA
Gaita;GAITA
Galão;GALAO
Galho;GALHO
Gália;GALIA
Gambá;GAMBA
Ganho;GANHO
Ganso;GANSO
Garça;GARÇA
Gases;GASES
Gasto;GASTO
Gatas;GATAS
Gelar;GELAR
Gêmeo;GEMEO
Gênio;GENIO
Geral;GERAL
Gíria;GIRIA
Globo;GLOBO
Golpe;GOLPE
Gorro;GORRO
Gosto;GOSTO
Graça;GRACA
Grade;GRADE
Grama;GRAMA
Grãos;GRAOS
Grega;GREGA
Grito;GRITO
Gueto;GUETO
Guiar;GUIAR
Guria;GURIA
Hábil;HABIL
Haste;HASTE
Hélio;HELIO
Herói;HEROI
Hiato;HIATO
Hinos;HINOS
Honra;HONRA
Horta;HORTA
Horto;HORTO
Humor;HUMOR
Ícaro;ICARO
Idade;IDADE
Ideia;IDEIA
Ídolo;IDOLO
Idoso;IDOSO
Igual;IGUAL
Ileso;ILESO
Ímpar;IMPAR
Impôs;IMPOS
Imune;IMUNE
Índio;INDIO
Irado;IRADO
Irmão;IRMAO
Jarra;JARRA
Jaula;JAULA
Jovem;JOVEM
Juízo;JUIZO
Julho;JULHO
Junho;JUNHO
Justa;JUSTA
Laçou;LACOU
Lagos;LAGOS
Laico;LAICO
Lança;LANCA
Lanço;LANCO
Laquê;LAQUE
Latão;LATAO
Lazer;LAZER
Lenço;LENCO
Lesma;LESMA
Letra;LETRA
Lilás;LILAS
Lindo;LINDO
Lítuo;LITUO
Livro;LIVRO
Loção;LOCAO
Loiro;LOIRO
Lomba;LOMBA
Lorde;LORDE
Lunar;LUNAR
Luzes;LUZES
Macro;MACRO
Máfia;MAFIA
Mágoa;MAGOA
Males;MALES
Manso;MANSO
Manto;MANTO
Marte;MARTE
Médio;MEDIO
Meiga;MEIGA
Meigo;MEIGO
Meios;MEIOS
Melão;MELAO
Menor;MENOR
Mesão;MESAO
Meses;MESES
Mesmo;MESMO
Mexer;MEXER
Milha;MILHA
Mimar;MIMAR
Minha;MINHA
Mitos;MITOS
Miúda;MIUDA
Miúde;MIUDE
Miúdo;MIUDO
Moela;MOELA
Moída;MOIDA
Morna;MORNA
Morto;MORTO
Mosca;MOSCA
Múmia;MUMIA
Musas;MUSAS
Musgo;MUSGO
Mútuo;MUTUO
Naves;NAVES
Neném;NENEM
Névoa;NEVOA
Ninja;NINJA
Noção;NOCAO
Noite;NOITE
Obeso;OBESO
Óbvio;OBVIO
Olhão;OLHAO
Ômega;OMEGA
Opaco;OPACO
Ósseo;OSSEO
Ótico;OTICO
Ouças;OUCAS
Pagos;PAGOS
Parco;PARCO
Páreo;PAREO
Parte;PARTE
Parvo;PARVO
Patão;PATAO
Patas;PATAS
Pátio;PATIO
Paúra;PAURA
Pavão;PAVAO
Peças;PECAS
Pedra;PEDRA
Peixe;PEIXE
Pelos;PELOS
Peões;PEÕES
Pesar;PESAR
Piauí;PIAUI
Pilha;PILHA
Pingo;PINGO
Pinos;PINOS
Pisar;PISAR
Poços;POCOS
Podar;PODAR
Pódio;PODIO
Poeta;POETA
Pomba;POMBA
Porão;PORAO
Porco;PORCO
Porre;PORRE
Prevê;PREVE
